Item,Soil type,value,Location,Source,Commodity,Year,Unit
Chemicals,High,30.0,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Labor and Management,High,54.053920000000005,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Return to Land,High,237.60902011956057,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
"Return to Land, Labor, Management",High,336.5452189657144,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Return Above Total Costs,High,72.60902011956057,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/acre
Price,High,8.6,Ohio,Farmoffice,Soybean with Storage,2010/2011,$/bushel
Receipts,Low,67.0,Ohio,Farmoffice,Wheat,2010/2011,bu/acre
Wheat Price,Low,284.75,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Seed Cost,Low,32.2,Ohio,Farmoffice,Wheat,2010/2011,$/acre
N (UAN),Low,18.263942307692307,Ohio,Farmoffice,Wheat,2010/2011,$/acre
P205   (MAP),Low,18.263942307692307,Ohio,Farmoffice,Wheat,2010/2011,$/acre
K20   (Potash),Low,15.863125,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Chemicals,Low,13.0,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Return to Land,Low,52.42421813253782,Ohio,Farmoffice,Wheat,2010/2011,$/acre
"Return to Land, Labor, Management",Low,93.66171813253781,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Return Above Total Costs,Low,-77.57578186746218,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Price,Low,4.25,Ohio,Farmoffice,Wheat,2010/2011,$/bushel
Receipts,High,82.0,Ohio,Farmoffice,Wheat,2010/2011,bu/acre
Wheat Price,High,348.5,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Seed Cost,High,32.2,Ohio,Farmoffice,Wheat,2010/2011,$/acre
N (UAN),High,45.42857142857143,Ohio,Farmoffice,Wheat,2010/2011,$/acre
P205   (MAP),High,22.352884615384617,Ohio,Farmoffice,Wheat,2010/2011,$/acre
K20   (Potash),High,17.828750000000003,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Chemicals,High,13.0,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Return to Land,High,98.52896813253778,Ohio,Farmoffice,Wheat,2010/2011,$/acre
"Return to Land, Labor, Management",High,142.9539681325378,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Return Above Total Costs,High,-77.51058186746224,Ohio,Farmoffice,Wheat,2010/2011,$/acre
Price,High,4.25,Ohio,Farmoffice,Wheat,2010/2011,$/bushel
Receipts,Low,150.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,bu/acre
Corn Price,Low,600.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Seed Cost,Low,80.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Nitrogen (NH3),Low,87.1219512195122,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
P205   (MAP),Low,42.69230769230769,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
K20   (Potash),Low,29.025,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Chemicals,Low,42.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Return to Land,Low,84.2095785814472,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
"Return to Land, Labor, Management",Low,158.4411385814472,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Return Above Total Costs,Low,-45.790421418552796,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Price,Low,4.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/bushel
Receipts,High,184.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,bu/acre
Corn Price,High,736.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Seed Cost,High,85.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Nitrogen (NH3),High,97.54878048780489,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
P205   (MAP),High,52.36923076923077,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
K20   (Potash),High,35.604000000000006,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Chemicals,High,42.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Return to Land,High,171.34357173810758,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
"Return to Land, Labor, Management",High,301.7547786611845,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Return Above Total Costs,High,6.343571738107585,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/acre
Price,High,4.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",NH3,$/bushel
Receipts,Low,150.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,bu/acre
Corn Price,Low,600.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Seed Cost,Low,80.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Nitrogen (NH3),Low,111.28571428571429,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
P205   (MAP),Low,42.69230769230769,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
K20   (Potash),Low,29.025,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Chemicals,Low,42.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Return to Land,Low,62.21076120265195,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
"Return to Land, Labor, Management",Low,136.44232120265195,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Return Above Total Costs,Low,-67.78923879734805,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Price,Low,4.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/bushel
Receipts,High,184.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,bu/acre
Corn Price,High,736.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Seed Cost,High,85.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Nitrogen (NH3),High,124.85714285714286,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
P205   (MAP),High,52.36923076923077,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
K20   (Potash),High,35.604000000000006,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Chemicals,High,42.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Return to Land,High,146.03506359276173,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
"Return to Land, Labor, Management",High,276.44627051583865,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Return Above Total Costs,High,-18.96493640723827,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/acre
Price,High,4.0,Ohio,Farmoffice,"Corn 2009, Conservation Tillage; N Source -",UAN,$/bushel
Receipts,Low,150.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,bu/acre
Corn Price,Low,600.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Seed Cost,Low,80.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Nitrogen (NH3),Low,111.28571428571429,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
P205   (MAP),Low,42.69230769230769,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
K20   (Potash),Low,29.025,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Chemicals,Low,54.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Return to Land,Low,66.84227889041131,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
"Return to Land, Labor, Management",Low,138.37383889041132,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Return Above Total Costs,Low,-63.15772110958869,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Price,Low,4.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/bushel
Receipts,High,184.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,bu/acre
Corn Price,High,736.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Seed Cost,High,85.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Nitrogen (NH3),High,124.85714285714286,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
P205   (MAP),High,52.36923076923077,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
K20   (Potash),High,35.604000000000006,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Chemicals,High,54.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Return to Land,High,150.6665812805211,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
"Return to Land, Labor, Management",High,278.377788203598,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Return Above Total Costs,High,-14.333418719478914,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/acre
Price,High,4.0,Ohio,Farmoffice,"Corn 2009, No-Till; N Source -",UAN,$/bushel
Receipts,Low,48.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),bu/acre
Soybean Price,Low,432.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Seed Cost,Low,52.199999999999996,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
P205   (MAP),Low,29.538461538461544,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
K20   (Potash),Low,48.15999999999999,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Chemicals,Low,30.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Return to Land,Low,123.11858362864695,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
"Return to Land, Labor, Management",Low,172.75014362864695,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Return Above Total Costs,Low,-6.881416371353055,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Price,Low,9.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/bushel
Receipts,High,60.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),bu/acre
Soybean Price,High,540.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Seed Cost,High,52.199999999999996,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
P205   (MAP),High,36.92307692307693,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
K20   (Potash),High,60.2,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Chemicals,High,30.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Land Rent,High,165.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Return to Land,High,206.43413516710837,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
"Return to Land, Labor, Management",High,288.0878756799289,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Return Above Total Costs,High,41.434135167108366,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/acre
Price,High,9.0,Ohio,Farmoffice,"Soybean 2009, No-Tillage (Roundup",Ready),$/bushel
Receipts,Low,67.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,bu/acre
Wheat Price,Low,268.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Seed Cost,Low,31.5,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
N (UAN),Low,32.46923076923077,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
P205   (MAP),Low,32.46923076923077,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
K20   (Potash),Low,32.0995,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Chemicals,Low,13.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Return to Land,Low,-27.459751308699197,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
"Return to Land, Labor, Management",Low,12.940248691300804,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Return Above Total Costs,Low,-157.4597513086992,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Price,Low,4.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/bushel
Receipts,High,82.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,bu/acre
Wheat Price,High,328.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Seed Cost,High,31.5,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
N (UAN),High,68.57142857142857,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
P205   (MAP),High,39.73846153846154,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
K20   (Potash),High,36.077000000000005,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Chemicals,High,13.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Return to Land,High,0.26771407591627394,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
"Return to Land, Labor, Management",High,43.66771407591628,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Return Above Total Costs,High,-186.49020669331458,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/acre
Price,High,4.0,Ohio,Farmoffice,"Wheat 2009, Conservation Tillage - Grain and Straw",Harvested,$/bushel
Receipts,Low,67.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,bu/acre
Wheat Price,Low,268.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Seed Cost,Low,31.5,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
N (UAN),Low,32.46923076923077,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
P205   (MAP),Low,32.46923076923077,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
K20   (Potash),Low,32.0995,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Chemicals,Low,23.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Land Rent,Low,130.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Return to Land,Low,-21.467160399059765,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
"Return to Land, Labor, Management",Low,16.23283960094024,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Return Above Total Costs,Low,-151.46716039905976,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Price,Low,4.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/bushel
Receipts,High,82.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,bu/acre
Wheat Price,High,328.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Seed Cost,High,31.5,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
N (UAN),High,68.57142857142857,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
P205   (MAP),High,39.73846153846154,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
K20   (Potash),High,36.077000000000005,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Chemicals,High,23.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Land Rent,High,165.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Return to Land,High,6.260304985555649,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
"Return to Land, Labor, Management",High,46.96030498555565,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Return Above Total Costs,High,-180.4976157836751,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/acre
Price,High,4.0,Ohio,Farmoffice,"Wheat 2009, No-Till - Grain and Straw",Harvested,$/bushel
